iter	Passed	Remaining
0	1	1392
1	1	980
2	2	848
3	3	775
4	3	731
5	4	707
6	4	687
7	5	669
8	5	658
9	6	647
10	7	638
11	7	634
12	8	627
13	8	622
14	9	618
15	9	612
16	10	609
17	11	605
18	11	601
19	12	599
20	12	597
21	13	595
22	13	584
23	14	582
24	14	580
25	15	578
26	15	576
27	16	575
28	17	574
29	17	569
30	18	568
31	18	567
32	19	565
33	19	564
34	20	563
35	20	561
36	21	560
37	22	559
38	22	557
39	23	556
40	23	555
41	24	554
42	24	553
43	25	552
44	25	551
45	26	550
46	27	549
47	27	548
48	28	547
49	28	546
50	29	545
51	29	542
52	30	541
53	30	540
54	31	540
55	31	539
56	32	538
57	33	538
58	33	537
59	34	536
60	34	536
61	35	535
62	35	534
63	36	533
64	37	533
65	37	532
66	38	531
67	38	530
68	39	528
69	39	527
70	40	525
71	40	525
72	41	524
73	41	523
74	42	523
75	42	522
76	43	522
77	44	521
78	44	520
79	45	520
80	45	519
81	46	519
82	46	518
83	47	518
84	48	517
85	48	516
86	49	516
87	49	515
88	50	515
89	50	514
90	51	513
91	52	513
92	52	513
93	53	512
94	54	523
95	55	522
96	56	522
97	56	521
98	57	520
99	57	520
100	58	519
101	58	518
102	59	518
103	60	517
104	60	516
105	61	516
106	61	515
107	62	514
108	62	513
109	63	513
110	64	512
111	64	512
112	65	511
113	65	510
114	66	509
115	66	509
116	67	508
117	67	507
118	68	506
119	68	505
120	69	505
121	70	504
122	70	503
123	71	503
124	71	502
125	72	501
126	72	501
127	73	500
128	74	499
129	74	498
130	75	498
131	75	496
132	76	495
133	76	495
134	77	494
135	77	493
136	78	493
137	78	492
138	79	491
139	79	491
140	80	490
141	81	489
142	81	489
143	82	488
144	82	487
145	83	487
146	83	486
147	84	486
148	85	485
149	85	485
150	86	484
151	86	483
152	87	482
153	87	482
154	88	481
155	88	480
156	89	480
157	90	479
158	90	478
159	91	478
160	91	477
161	92	477
162	92	476
163	93	475
164	93	475
165	94	474
166	95	473
167	95	473
168	96	472
169	96	472
170	97	471
171	97	471
172	98	470
173	98	469
174	99	469
175	100	468
176	100	468
177	101	467
178	101	466
179	102	466
180	102	465
181	103	465
182	104	464
183	104	463
184	105	463
185	105	462
186	106	462
187	106	461
188	107	460
189	107	460
190	108	459
191	109	459
192	109	458
193	110	457
194	110	457
195	111	456
196	111	456
197	112	455
198	113	455
199	113	454
200	114	453
201	114	453
202	115	452
203	115	451
204	116	451
205	116	450
206	117	449
207	118	449
208	118	448
209	119	448
210	119	447
211	120	447
212	120	446
213	121	446
214	122	445
215	122	444
216	123	444
217	123	443
218	124	442
219	124	442
220	125	441
221	125	440
222	126	439
223	126	439
224	127	438
225	127	438
226	128	437
227	129	436
228	129	436
229	130	435
230	130	435
231	131	434
232	131	433
233	132	432
234	132	432
235	133	431
236	133	431
237	134	430
238	135	430
239	135	429
240	136	428
241	136	428
242	137	427
243	137	427
244	138	426
245	138	426
246	139	425
247	140	424
248	140	424
249	141	423
250	141	423
251	142	422
252	142	422
253	143	421
254	144	420
255	144	420
256	145	419
257	145	419
258	146	418
259	146	417
260	147	417
261	147	416
262	148	416
263	149	415
264	149	415
265	150	414
266	150	413
267	151	413
268	151	412
269	152	412
270	153	411
271	153	411
272	154	410
273	154	409
274	155	409
275	155	408
276	156	408
277	156	407
278	157	407
279	158	406
280	158	405
281	159	405
282	159	404
283	160	404
284	160	403
285	161	403
286	162	402
287	162	401
288	163	401
289	163	400
290	164	399
291	164	399
292	165	398
293	165	398
294	166	397
295	166	397
296	167	396
297	168	395
298	168	395
299	169	394
300	170	395
301	170	394
302	171	394
303	171	393
304	172	393
305	173	392
306	173	392
307	174	391
308	174	390
309	175	390
310	175	389
311	176	389
312	177	388
313	177	388
314	178	387
315	178	386
316	179	386
317	179	385
318	180	385
319	180	384
320	181	383
321	182	383
322	182	382
323	183	382
324	183	381
325	184	380
326	184	380
327	185	379
328	185	379
329	186	378
330	187	377
331	187	377
332	188	376
333	188	376
334	189	375
335	189	375
336	190	374
337	190	373
338	191	373
339	192	372
340	192	372
341	193	371
342	193	371
343	194	370
344	194	369
345	195	369
346	195	368
347	196	368
348	197	367
349	197	366
350	198	366
351	198	365
352	199	364
353	199	364
354	200	363
355	200	363
356	201	362
357	201	362
358	202	361
359	203	360
360	203	360
361	204	359
362	204	359
363	205	358
364	205	358
365	206	357
366	206	356
367	207	356
368	208	355
369	208	355
370	209	354
371	209	354
372	210	353
373	210	352
374	211	352
375	211	351
376	212	350
377	212	350
378	213	349
379	214	349
380	214	348
381	215	348
382	215	347
383	216	347
384	217	346
385	217	346
386	218	345
387	218	345
388	219	344
389	219	343
390	220	343
391	221	342
392	221	342
393	222	341
394	222	341
395	223	340
396	223	340
397	224	339
398	225	338
399	225	338
400	226	337
401	226	337
402	227	336
403	227	336
404	228	335
405	228	334
406	229	334
407	230	333
408	230	333
409	231	332
410	231	332
411	232	331
412	232	330
413	233	330
414	233	329
415	234	329
416	235	328
417	235	328
418	236	327
419	236	326
420	237	326
421	237	325
422	238	325
423	239	324
424	239	324
425	240	323
426	240	323
427	241	322
428	241	321
429	242	321
430	242	320
431	243	320
432	244	319
433	244	319
434	245	318
435	245	317
436	246	317
437	246	316
438	247	316
439	248	315
440	248	315
441	249	314
442	249	313
443	250	313
444	250	312
445	251	312
446	251	311
447	252	311
448	253	310
449	253	309
450	254	309
451	254	308
452	255	308
453	255	307
454	256	307
455	256	306
456	257	306
457	258	305
458	258	304
459	259	304
460	259	303
461	260	303
462	260	302
463	261	302
464	262	301
465	262	300
466	263	300
467	263	299
468	264	299
469	264	298
470	265	298
471	265	297
472	266	296
473	267	296
474	267	295
475	268	295
476	268	294
477	269	294
478	269	293
479	270	293
480	271	292
481	271	291
482	272	291
483	272	290
484	273	290
485	274	290
486	275	289
487	275	289
488	276	288
489	276	287
490	277	287
491	277	286
492	278	286
493	278	285
494	279	285
495	280	284
496	280	284
497	281	283
498	281	282
499	282	282
500	282	281
501	283	281
502	283	280
503	284	280
504	285	279
505	285	278
506	286	278
507	286	277
508	287	277
509	287	276
510	288	276
511	289	275
512	289	274
513	290	274
514	290	273
515	291	273
516	291	272
517	292	272
518	292	271
519	293	270
520	294	270
521	294	269
522	295	269
523	295	268
524	296	268
525	297	268
526	298	267
527	298	267
528	299	266
529	299	265
530	300	265
531	301	264
532	301	264
533	302	263
534	302	263
535	303	262
536	303	261
537	304	261
538	305	260
539	305	260
540	306	259
541	306	259
542	307	258
543	307	258
544	308	257
545	308	256
546	309	256
547	310	255
548	310	255
549	311	254
550	311	254
551	312	253
552	312	252
553	313	252
554	314	251
555	314	251
556	315	250
557	315	250
558	316	249
559	316	248
560	317	248
561	317	247
562	318	247
563	319	246
564	319	246
565	320	245
566	320	244
567	321	244
568	321	243
569	322	243
570	322	242
571	323	242
572	323	241
573	324	240
574	325	240
575	325	239
576	326	239
577	326	238
578	327	238
579	327	237
580	328	236
581	329	236
582	329	235
583	330	235
584	330	234
585	331	234
586	331	233
587	332	232
588	332	232
589	333	231
590	334	231
591	334	230
592	335	230
593	335	229
594	336	228
595	336	228
596	337	227
597	337	227
598	338	226
599	339	226
600	339	225
601	340	224
602	340	224
603	341	223
604	341	223
605	342	222
606	342	222
607	343	221
608	344	220
609	344	220
610	345	219
611	345	219
612	346	218
613	346	217
614	347	217
615	347	216
616	348	216
617	348	215
618	349	215
619	349	214
620	350	213
621	351	213
622	351	212
623	352	212
624	352	211
625	353	211
626	353	210
627	354	209
628	355	209
629	355	208
630	356	208
631	356	207
632	357	207
633	357	206
634	358	205
635	358	205
636	359	204
637	359	204
638	360	203
639	360	202
640	361	202
641	361	201
642	362	201
643	363	200
644	363	200
645	364	199
646	364	198
647	365	198
648	365	197
649	366	197
650	366	196
651	367	196
652	367	195
653	368	194
654	369	194
655	369	193
656	370	193
657	370	192
658	371	192
659	371	191
660	372	190
661	372	190
662	373	189
663	373	189
664	374	188
665	375	188
666	375	187
667	376	186
668	376	186
669	377	185
670	377	185
671	378	184
672	378	184
673	379	183
674	380	183
675	380	182
676	381	181
677	381	181
678	382	180
679	382	180
680	383	179
681	384	179
682	384	178
683	385	177
684	385	177
685	386	176
686	386	176
687	387	175
688	388	175
689	388	174
690	389	174
691	389	173
692	390	172
693	390	172
694	391	171
695	391	171
696	392	170
697	393	170
698	393	169
699	394	168
700	394	168
701	395	167
702	395	167
703	396	166
704	396	166
705	397	165
706	398	164
707	398	164
708	399	163
709	399	163
710	400	162
711	400	162
712	401	161
713	401	160
714	402	160
715	403	159
716	403	159
717	404	158
718	404	158
719	405	157
720	405	157
721	406	156
722	406	155
723	407	155
724	408	154
725	408	154
726	409	153
727	409	153
728	410	152
729	410	151
730	411	151
731	411	150
732	412	150
733	413	149
734	413	149
735	414	148
736	414	147
737	415	147
738	415	146
739	416	146
740	416	145
741	417	145
742	418	144
743	418	144
744	419	143
745	419	142
746	420	142
747	420	141
748	421	141
749	421	140
750	422	140
751	423	139
752	423	138
753	424	138
754	424	137
755	425	137
756	425	136
757	426	136
758	427	135
759	427	135
760	428	134
761	428	133
762	429	133
763	429	132
764	430	132
765	430	131
766	431	131
767	432	130
768	432	129
769	433	129
770	433	128
771	434	128
772	434	127
773	435	127
774	435	126
775	436	125
776	437	125
777	437	124
778	438	124
779	438	123
780	439	123
781	439	122
782	440	122
783	440	121
784	441	120
785	442	120
786	442	119
787	442	119
788	443	118
789	443	118
790	444	117
791	445	116
792	445	116
793	446	115
794	446	115
795	447	114
796	447	114
797	448	113
798	448	112
799	449	112
800	450	111
801	450	111
802	451	110
803	451	110
804	452	109
805	452	109
806	453	108
807	454	107
808	454	107
809	455	106
810	455	106
